

#----------
# sport
#----------

football hockey basketball 
succeeding proceeding preceding 

succession possession confession 
successes possesses confesses 

occasionally occasions occasional 
additionally additions additional 

rush rushed rushing 
crush crushed crushing 

components exponents quantifiers 
component exponent quantifier 

progressive progression progresses 
successive succession successes 

progressive aggressive oppressive 
progression aggression oppression 

progressive impressive obsessive 
progression impression obsession 

rejected criticised reviewed 
rejecting criticizing reviewing 

wrestlers wrestled wrestle 
feuds feuded feud 

crashed crashes crashing 
wrecked wrecks wrecking 

crashed washed brushed 
crashes washes brushes 

crashed exploded exploited 
crashes explodes exploits 

fled flee fleeing 
seized seize seizing 

powder boiler mixer 
powdered boiled mixed 

measuring measurements measurable 
comparing comparisons comparable 

viewers viewed viewer 
reviewers reviewed reviewer 

tone semitone ketone 
tones semitones ketones 

varies varied varying 
differs differed differing 

specialized localized legalized 
specially locally legally 

keyboard percussion accompaniment 
keyboardist percussionist accompanist 

restored restoration restore 
reconstructed reconstruction reconstruct 

restored renovated excavated 
restoration renovation excavation 

blocked mocked sucked 
blocking mocking sucking 

blocked shocked kicked 
blocking shocking kicking 

blocked knocked wrecked 
blocking knocking wrecking 

blocked checked invoked 
blocking checking invoking 

clock lock knock 
clocks locks knocks 

geographical geographically geographers 
geological geologically geologists 

geographical geography geographer 
biographical biography biographer 

larvae tadpoles bullfrogs 
larva tadpole bullfrog 

romanian serbian albanian 
romanians serbs albanians 



kidney lymphoma esophageal 
kidneys lymphocytes oesophagus 

carrier barrier terrier 
carriers barriers terriers 

accounts counts mounts 
accounted counted mounted 

anywhere somewhere wherever 
anyway somehow whenever 

anywhere somewhere everywhere 
anybody somebody everybody 

markets marketing marketed 
consumers consumer consumed 

encouraged discouraged outraged 
encourage discourage outrage 

encouraged practised exercised 
encouraging practising exercising 

moral oral literal 
morally orally literally 

noticed guessed stressed 
notices guesses stresses 

noticed discussed debated 
noticing discussing debating 

gospel apostle psalm 
gospels apostles psalms 

pointed disappointed annoyed 
pointing disappointing annoying 

jamaica bahamas barbados 
jamaican bahamian barbadian 

triangle triangular triangles 
rectangle rectangular rectangles 

publication duplication indication 
publications implications indications 

liberation cooperation integration 
liberated cooperated integrated 

mozart mahler mussorgsky 
mozart's mahler's mussorgsky's 

mozart verdi puccini 
mozart's verdi's puccini's 

pull push pump 
pulling pushing pumping 

assault assaulted assaults 
offender offended offenders 

rope elbow ankle 
ropes elbows ankles 

friendship friend's friendships 
partnership partner's partnerships 

doubles troubles struggles 
doubled troubled struggled 

vector detector pulsar 
vectors detectors pulsars 

please lease cease 
pleased leased ceased 

achievement improvement advancement 
achievements improvements advances 

waiting exiting terminating 
waited exited terminated 

waiting shouting embarrassing 
waited shouted embarrassed 

eruption disruption interruption 
erupted disrupted interrupted 

lock locked locking 
knock knocked knocking 

lock locked locking 
mock mocked mocking 

exception reception interception 
exceptions receptions interceptions 

processor processors processed 
compressor compressors compressed 

defended defenders defenses 
offended offenders offenses 

establish establishment establishing 
adopt adoption adopting 

nigeria tunisia frisia 
nigerian tunisian frisian 



astronomers meteorologists archeologists 
astronomical meteorological archeological 

isolated insulated inflated 
isolation insulation inflation 

jaw claw paw 
jaws claws paws 

realized worried cried 
realizes worries cries 

abolished demolished reconstructed 
abolition demolition reconstruction 

benefits profits debts 
benefit profit debt 

benefits guarantees ensures 
benefited guaranteed ensured 

infected infect infects 
defected defect defects 

climb climbing climbers 
hike hiking hikers 

archaeological geological meteorological 
archaeologists geologists meteorologists 

explanation interpretation imitation 
explanations interpretations limitations 

explanation interpretation imitation 
explaining interpreting imitating 

physiology zoology morphology 
physiological zoological morphological 

rape kidnapping stabbing 
raped kidnapped stabbed 

emotional emotion prejudice 
devotional devotion obedience 

emotional sensational improvisational 
emotion sensation improvisation 

cake pancake doughnut 
cakes pancakes doughnuts 

geological zoological epidemiological 
geology zoology epidemiology 

tribute tribune tributes 
contribute contributor contributes 

tribute tribune tributes 
distribute distributor distributes 

employed deployed unemployed 
employment deployment unemployment 

photographer photography photographed 
choreographer choreography choreographed 

wonder wondered wondering 
wander wandered wandering 

probability liability vulnerability 
probable liable vulnerable 

jumping lifting shifting wrapping 
jumped lifted shifted wrapped 
jumps lifts shifts wraps 

jumping trapping wrapping 
jumped trapped wrapped 

jumping throwing leaping 
jumps throws leaps 

discrimination discriminated discriminate 
violation violated violate 

relation relate relates 
relaxation relax relaxes 

collapsed collided drifted 
collapsing colliding drifting 

collapsed recovered repaired 
collapsing recovering repairing 

radical feminist anarchist 
radicals feminists anarchists 

theology zoology cosmology 
theological zoological cosmological 

theology ethics mystics 
theological ethical mystical 

directions directive directives 
objections objective objectives 

integer decimal numeral 
integers decimals numerals 

trapped sucked chewed 
trapping sucking chewing 

trapped traps trapper 
wrapped wraps wrapper 

trapped ripped slipped 
trapper ripper slipper 

trapped pumped floated 
trapping pumping floating 

trapped mapped analysed 
trapping mapping analyzing 

decorated decorate decorating 
commemorated commemorate commemorating 

decorated decoration decorative 
commemorated commemoration commemorative 

decorated decorations decorating 
carved carvings carving 

climbing camping surfing 
climbers campers surfers 

hoped persuaded begged 
hopes persuades begs 

rod reel eel 
rods reels eels 



algeria ethiopia assyria 
algerian ethiopian assyrian 

assassination kidnapping rescuing 
assassinated kidnapped rescued 

circulation circulated circulating 
calculation calculated calculating 

circulation circulated circulating 
regulation regulated regulating 

circulation ejaculation stimulation 
circulate ejaculate stimulate 

worried worry worries 
hated hate hates 

worried feared betrayed 
worries fears betrays 

baptist anglican pelican 
baptists anglicans pelicans 

bleeding vomiting sweating 
bleed vomit sweat 

stays lays hatches 
staying laying hatching 

technologies ideologies skepticism 
technological ideological skeptical 

julia emilia giulia 
julio emilio giulio 

pack package add-on 
packs packages add-ons 

pack packed packs 
sack sacked sacks 

reverse revert revere 
reversed reverted revered 

upgraded updated downloaded 
upgrading updating downloading 

hormones stimulants opioids 
hormone stimulant opioid 

lesbian feminist unionist 
lesbians feminists unionists 

dried drying dryer 
boiled boiling boiler 

autobiography biography pornography 
autobiographical biographical pornographic 

hiding escaping kidnapping 
hid escaped kidnapped 

interpretation interpreted interpretations 
quotation quoted quotations 

discussed commented reviewed 
discussing commenting reviewing 

commentator spectator gladiator 
commentators spectators gladiators 

calculated calculate calculation 
computed compute computation 

calculated calculate calculation 
simulated simulate simulation 

calculated calculate calculation 
accumulated accumulate accumulation 

calculated calculating calculators 
computed computing computers 

calculated calculators calculator 
accumulated accumulators accumulator 

immigration migration emigration 
immigrant migrant emigrant 

dressed dresses dressing 
pressed presses pressing 

dressed addressed accessed 
dressing addressing accessing 

dressed kissed laughed 
dressing kissing laughing 

mention intention intervention 
mentions intentions interventions 

illustrated illustrator illustration 
narrated narrator narration 

illustrated frustrated castrated 
illustration frustration castration 

package packages packaged 
packet packets packed 

aggressive impressive recessive 
aggression impression recession 

addresses addressed addressing 
presses pressed pressing 

addresses dresses kisses 
addressing dressing kissing 

exclusive exclusion excluding 
inclusive inclusion including 

melody chord oboe 
melodies chords oboes 

copied coded sequenced 
copying coding sequencing 

explore explored exploration 
exploit exploited exploitation 

requirements requiring requirement 
implements implementing implement 

requirements guarantees ensures 
requirement guarantee ensure 

lift shaft turbine 
lifts shafts turbines 

carved engraved sculpted 
carvings engravings sculptures 

carved paved shaved 
carving paving shaving 

cannon mortar handgun 
cannons mortars handguns 



kidnapped rescued disguised 
kidnaps rescues disguises 

kidnapped betrayed cursed 
kidnaps betrays curse 

shipping mapping wrapping 
shipped mapped wrapped 

updated uploaded reloaded 
updating uploading reloading 

soup dessert sausage 
soups desserts sausages 

soup snack noodle 
soups snacks noodles 

migration migrate migrants 
emigration emigrate emigrants 

respected responded replied 
respects responds replies 

presents presentation presenting 
preserves preservation preserving 

portrayed betrayed confronted 
portrayal betrayal confrontation 

restricted restrictions restriction 
regulated regulations regulation 

rotation rotating rotate 
acceleration accelerating accelerate 

rotation vibration penetration 
rotating vibrating penetrating 

kick knee elbow 
kicks knees elbows 

legislation legislatures legislator 
delegation delegates delegate 

punished wished cried 
punishes wishes cries 

denied permitted prohibited 
denying permitting prohibiting 

infinite infinitely infinitive 
definite definitely definitive 

passion recession progression 
passive recessive progressive 

buying stealing kidnapping 
buys steals kidnaps 

convinced convince convinces 
persuaded persuade persuades 

convinced confronted corrupted 
convince confront corrupt 

pupils organists violinists 
pupil organist violinist 

lizards tortoises octopuses 
lizard tortoise octopus 

cooling cooled cools 
boiling boiled boils 

cooling melting drifting 
cooled melted drifted 

retreat retreated retreating 
withdraw withdrawn withdrawing 

retreat flee kidnap 
retreating fleeing kidnapping 

canon canoe geyser 
canons canoes geysers 

closing closure closures 
exposing exposure exposures 

activists feminists atheists 
activism feminism atheism 

ignored rendered invoked 
ignoring rendering invoking 

interaction integration implementation 
interacting integrating implementing 

throwing bowing punching 
throws bows punches 

throwing rushing crashing 
throws rushes crashes 

throwing blowing slowing 
throws blows slows 

throwing pulling bending 
throws pulls bends 

equality morality spirituality 
equally morally spiritually 

listening frightening annoying 
listened frightened annoyed 

planted harvested roasted 
planting harvesting roasting 

separates splits merges 
separating splitting merging 

dividing splitting merging 
divides splits merges 

witness witnesses witnessed 
confess confesses confessed 

blamed blame blaming 
insulted insult insulting 

citation imitation temptation 
citations limitations temptations 

republicans nationalists capitalists 
republicanism nationalism capitalism 

enforcement enforce enforcing 
reinforcement reinforce reinforcing 

enforcement obligation negotiation 
enforced obliged negotiated 

journalism journalists journalistic 
nationalism nationalists nationalistic 

journalism socialism feminism 
journalists socialists feminists 

bella isabella camilla 
belle isabelle camille 

rodents squirrels squids 
rodent squirrel squid 

collaboration collaborated collaborative 
cooperation cooperated cooperative 

witnesses guesses presses 
witnessed guessed pressed 

ratified proclaimed reclaimed 
ratification proclamation reclamation 

flyers dodgers blazers 
flyer dodger blazer 

pronunciation syllable consonant 
pronunciations syllables consonants 

dictator dictatorship dictators 
fascist fascism fascists 

prayers praying prayed 
blessings blessing blessed 

possession obsession fascination 
possessed obsessed fascinated 

dimensions rectangles wedges 
dimension rectangle wedge 

funding financing negotiating 
funded financed negotiated 

defender defenders defences 
offender offenders offences 

quantity fraction fracture 
quantities fractions fractures 

stealing steals stealth 
healing heals health 

integrated integration integrate 
manipulated manipulation manipulate 

integrated implemented evaluated 
integration implementation evaluation 

bottle bottles bottled 
slice slices sliced 

bottle toilet cleaner 
bottles toilets cleaners 

cooperation cooperative cooperated 
initiation initiative initiated 

cooperation cooperated cooperating 
coordination coordinated coordinating 

cooperation integration computation 
cooperating integrating computing 

sardinia corsica veneto 
sardinian corsican venetian 

regulations regulation regulated 
simulations simulation simulated 

regulations regulation regulating 
violations violation violating 

regulations regulated regulates 
violations violated violates 

accumulator accumulators accumulated 
insulator insulators insulated 

accumulator accumulation accumulates 
calculator calculation calculates 

scout scouts scouting 
recruit recruits recruiting 

boiling boil boils 
melting melt melts 

pump lump stump 
pumps lumps stumps 

1870s 1880s 1860s 
70s 80s 60s 

assassinated assaulted harassed 
assassin assault harass 

corresponding correspond corresponds 
responding respond responds 

locked locks locking 
shocked shocks shocking 

attributed referenced summarized 
attributes references summaries 

noun adjective consonant 
nouns adjectives consonants 

detected detector detectors 
accelerated accelerator accelerators 

detected corrected correlated 
detection correction correlation 

biologist anthropologist paleontologist 
biologists anthropologists palaeontologists 

torture kidnapping accusing 
tortured kidnapped accused 

pushing flashing flapping 
pushes flashes flaps 

pushing washing crashing 
pushes washes crashes 

pushing blowing bowing 
pushes blows bows 

rescued drowned downed 
rescuing drowning downing 

calculations calculation calculators 
computations computation computers 

eruptions explosions collisions 
erupted exploded collided 

backing packing sucking 
backed packed sucked 

backing kicking knocking 
backed kicked knocked 

backing locking wrecking 
backed locked wrecked 

backing backed backs 
lacking lacked lacks 

consumption consumed consuming 
assumption assumed assuming 

contracts contracted contracting 
contrasts contrasted contrasting 

biography choreography cartography 
biographer choreographer cartographer 

fraction exponent coefficient 
fractions exponents coefficients 

fraction contraction transaction 
fractions contractions transactions 

psychologist paleontologist geologist 
psychologists palaeontologists geologists 

protective objective reflective 
protections objections reflections 

stretched stretching stretches 
touched touching touches 

touches pushes bends 
touching pushing bending 

touches washes sprays 
touched washed sprayed 

siberia liberia iberia 
siberian liberian iberian 

siberia eurasia mesoamerica 
siberian eurasian mesoamerican 

jumps knocks stacks 
jumped knocked stacked 

flavor flavored savory 
flavour flavoured savoury 

export import impose 
exporting importing imposing 

thunderstorms typhoons blizzards 
thunderstorm typhoon blizzard 

inauguration commemoration consecration 
inaugurated commemorated consecrated 

yankees dodgers marlins 
yankee dodger marlin 

sorts sorted sorting 
imports imported importing 

boarding guarding awarding 
boarded guarded awarded 

knocked knocking knocks 
shocked shocking shocks 

knocked kicked tricked 
knocks kicks tricks 

reformation reformer reformers 
transformation transformer transformers 

washed crushed chewed 
washing crushing chewing 

locks knocks punches 
locking knocking punching 

regulation regulated regulating 
stimulation stimulated stimulating 

impressed impressive impression 
oppressed oppressive oppression 

filter cleaner sewer 
filters cleaners sewers 

expect expecting expects 
intend intending intends 

assisted insisted resisted 
assists insists resists 

assisted recruited waited 
assisting recruiting waiting 

shifted drifted exited 
shifting drifting exiting 

loaded uploaded tagged 
loading uploading tagging 

loaded downloaded reloaded 
loading downloading reloading 

trademark trademarked trademarks 
remark remarked remarks 

presentation imitation expectation 
presentations limitations expectations 

archaeologists palaeontologists sociologists 
archaeology palaeontology sociology 

feared cleared stared 
fearing clearing staring 

partition petition obligation 
partitions petitions obligations 

revived revive reviving 
revolved revolve revolving 

revived revive reviving 
thrived thrive thriving 

elimination domination termination 
eliminating dominating terminating 

elimination domination termination 
eliminate dominate terminate 

demonstration frustration admiration 
demonstrated frustrated admired 

demonstration initiation negotiation 
demonstrated initiated negotiated 

employment enjoyment encouragement 
employing enjoying encouraging 

linguistics anthropology palaeontology 
linguists anthropologists palaeontologists 

gaga rihanna aaliyah 
gaga's rihanna's aaliyah's 

volunteer recruit enlist 
volunteered recruited enlisted 

investigated investigate investigator 
examined examine examiner 

investigated investigations investigators 
researched researches researchers 

investigated invested financed 
investigator investor financier 

eminem beyonce rihanna 
eminem's beyonce's rihanna's 

washing rushing wishing 
washes rushes wishes 

tricks picks sucks 
tricked picked sucked 

lifted lifts lifting 
exited exits exiting 

ecological neurological chronological 
ecology neurology chronology 

sociology microbiology pharmacology 
sociologist microbiologist pharmacist 

buck bucket sticker 
bucks buckets stickers 

demonstrated protested revolted 
demonstrates protests revolts 

float flip wrapper 
floated flipped wrapped 

climbed climbs climber 
jumped jumps jumper 

rotating rotated rotor 
accelerating accelerated accelerator 

imported imports importing 
transported transports transporting 

imported importing imposing 
exported exporting exposing 

neurons ventricles follicles 
neuron ventricle follicle 

tracking cracking sucking 
tracked cracked sucked 

exciting exposing imposing 
excited exposed imposed 

marched retreated raided 
marching retreating raiding 

qualification specification fortification 
qualifications specifications fortifications 

qualification modification indication 
qualifications modifications indications 

acceleration accelerating accelerates 
vibration vibrating vibrates 

acceleration ionization polarization 
accelerated ionized polarized 

meditation imitation improvisation 
meditate imitate improvise 

crushed rubbed sewn 
crushing rubbing sewing 

perception interception inning 
perceptions interceptions innings 

pigment dye perfume 
pigments dyes perfumes 

pigment texture condiment 
pigments textures condiments 

compromise negotiate initiate 
compromised negotiated initiated 

protestants atheists fascists 
protestantism atheism fascism 

traps wraps flaps 
trapping wrapping flapping 

admired appreciated fascinated 
admiration appreciation fascination 

veins arteries capillaries 
vein artery capillary 

deleted delete deleting 
uploaded upload uploading 

coordinate coordinated coordination 
evaluate evaluated evaluation 

mesopotamia babylonia akkad 
mesopotamian babylonian akkadian 

resurrection crucifixion martyrdom 
resurrected crucified martyred 

resurrection erection correction 
resurrected erected corrected 

nails sails wrecks 
nailed sailed wrecked 

shocked mocked begged 
shocking mocking begging 

shocked shouted shaved 
shocking shouting shaving 

capitalism realism modernism 
capitalization realization modernization 

capitalism fascism nazism 
capitalists fascists nazis 

astronaut meteorologist astrologer 
astronautical meteorological astrological 

bubbles pebbles marbles 
bubble pebble marble 

evacuation renovation redevelopment 
evacuated renovated redeveloped 

evacuation relocation affiliation 
evacuated relocated affiliated 

consonants pronouns adverbs 
consonant pronoun adverb 

consonants phonemes morphemes 
consonant phoneme morpheme 

twist fist wrist 
twists fists wrists 

kilogram centimeter millimeter 
kilograms centimetres millimetres 

criticised commented tweeted 
criticisms comments tweets 

fascist zionist expressionist 
fascism zionism expressionism 

objective objected objections 
selective selected selections 

filmmaker printmaker engraver 
filmmaking printmaking engraving 

pedal octave semitone 
pedals octaves semitones 

booth saddle paddle 
booths saddles paddles 

kicked stabbed beheaded 
kicking stabbing beheading 

naturalist realist stylist 
naturalized realized stylized 

realistic nationalistic journalistic 
realist nationalist journalist 

packed lacked stacked 
packs lacks stacks 

packed packs packing 
tracked tracks tracking 

compression impression progression 
compressed impressed progressed 

compression suppression oppression 
compressed suppressed oppressed 

integration integrate integrating 
coordination coordinate coordinating 

injection injected injecting 
inhalation inhaled inhaling 

raids rebellions conquests 
raided rebelled conquered 

enabled ensured overwhelmed 
enabling ensuing overwhelming 

decorations decorate decorating 
depictions depict depicting 

decorations ceilings engravings 
decorating ceiling engraving 

interrupted interrupt interruption 
interned intern internment 

interrupted disrupted corrupted 
interrupt disrupt corrupt 

acronym idiom morpheme 
acronyms idioms morphemes 

illustrations depictions reflections 
illustrating depicting reflecting 

richardson robertson stephenson 
richard's robert's stephen's 

secured negotiated cooperated 
securing negotiating cooperating 

spike groove bump 
spikes grooves bumps 

tiles piles pebbles 
tile pile pebble 

extract extraction extracting 
subtract subtraction subtracting 

separator separatist fundamentalist 
separators separatists fundamentalists 

reflection illustration outline 
reflections illustrations outlines 

specify verify notify 
specification verification notification 

targeted marketed advertised 
targeting marketing advertising 

tuned plucked chewed 
tuning plucking chewing 

limitations violations accusations 
limiting violating accusing 

examined researched analysed 
examines researches analyses 

examined surveyed mapped 
examining surveying mapping 

robbed stabbed dragged 
robbing stabbing dragging 

robbed grabbed rubbed 
robbing grabbing rubbing 

transcription transcribed transcriptions 
prescription prescribed prescriptions 

stripped ripped skipped 
stripper ripper skipper 

stripped dipped slipped 
stripper dipper slipper 

catalyst reagent carbocation 
catalysts reagents carbocations 

melted boiled coiled 
melts boils coils 

arches marches clashes 
arched marched clashed 

boiled coiled nailed 
boils coils nails 

employers buyers suppliers 
employing buying supplying 

recruited deployed detached 
recruitment deployment detachment 

africans cubans brazilians 
africa's cuba's brazil's 

addicted addict addictions 
prescribed prescribe prescriptions 



godfather stepfather grandfather's 
godmother stepmother grandmother's 

atheist taoist calvinist 
atheism taoism calvinism 

cared annoyed laughed 
caring annoying laughing 

violations violation violated 
prosecutions prosecution prosecuted 

poster rooster hamster 
posters roosters hamsters 

stabbed grabbed rubbed 
stabs grabs rubs 

fortifications renovations outstations 
fortification renovation outstation 

fortifications reinforcements engagements 
fortification reinforcement engagement 

assessment assess assessments 
assignment assign assignments 

octave oboe trombone 
octaves oboes trombones 

glue scratch scrap 
glued scratched scraped 

possessed possessions possesses 
confessed confessions confesses 

wrap bump stump 
wraps bumps stumps 

accomplished improvised imitated 
accomplish improvise imitate 

attachment catchment watchmen 
attaching catching watching 

brackets packets buckets 
bracket packet bucket 

brewery brewers breweries 
bakery bakers bakeries 

modification modify modifications 
specification specify specifications 

cracked slipped flipped 
crackers slippers flippers 

chimpanzees neanderthals lineages 
chimpanzee neanderthal lineage 

mackenzie mackay macleod 
mckenzie mckay mcleod 

pillars piles projectiles 
pillar pile projectile 

initiated affiliated accredited 
initiation affiliation accreditation 

emissions emission emitting 
transmissions transmission transmitting 

parable fable miserable 
parables fables miserables 

coating rubbing stabbing 
coated rubbed stabbed 

passive expressive reflective 
passions expressions reflections 

marsupials echidnas zebras 
marsupial echidna zebra 

warwick buckingham hertford 
warwickshire buckinghamshire hertfordshire 

cobra zebra raccoon 
cobras zebras raccoons 

pits exits waits 
pitted exited waited 

swelling sweating squeezing 
swell sweat squeeze 

frisian silesian sardinian 
frisia silesia sardinia 

overture fugue leitmotif 
overtures fugues leitmotifs 

chasing fleeing freeing 
chases flees frees 

preceded proceeded seceded 
precession procession secession 

clips clippers clipper 
slips slippers slipper 

rented paved engraved 
renting paving engraving 

projection correction dissection 
projected corrected dissected 

projection erection affection 
projected erected affected 

offense offence prosecutors 
self-defense self-defence defendants 

outfit outlaw gangster 
outfits outlaws gangsters 

shake shaking shaken 
shave shaving shaved 

padding wrapping inserting 
padded wrapped inserted 

donations examinations preparations 
donation examination preparation 

activated motivated manipulated 
activation motivation manipulation 

avengers scavengers cannibals 
avenger scavenger cannibal 

evangelist zionist taoist 
evangelism zionism taoism 

canadian-american german-american polish-american 
canadian-born german-born polish-born 

canadian-american italian-american anglo-american 
canadian-born italian-born english-born 

betrayed disguised cried 
betrays disguises cries 

capabilities utilities hostilities 
capability utility hostility 

pretending annoying haunting 
pretended annoyed haunted 

depicting reflecting rejecting 
depiction reflection rejection 

mapping tapping whipping 
mapped tapped whipped 

pancakes desserts biscuits 
pancake dessert biscuit 

crying annoying noticing 
cried annoyed noticed 

crying begging embarrassing 
cried begged embarrassed 

crying laughing frightening 
cried laughed frightened 

owed taxed privileged 
owes taxes privileges 

bending tending intending 
bends tends intends 

chewing rubbing dragging 
chewed rubbed dragged 

terminator termination terminating 
coordinator coordination coordinating 

simulation stimulation manipulation 
simulate stimulate manipulate 

bumps lumps chimneys 
bump lump chimney 

pressures presses stresses 
pressured pressed stressed 

physiological biochemical anatomical 
physiologist biochemist anatomist 

lobsters oysters roosters 
lobster oyster rooster 

lobsters hamsters eaters 
lobster hamster eater 

brakes axles paddles 
brake axle paddle 

logging rigging dragging 
logged rigged dragged 

floats sucks sprays 
floated sucked sprayed 

oyster hamster woodpecker 
oysters hamsters woodpeckers 

consulting insulting accusing 
consulted insulted accused 

confessed kissed begged 
confesses kisses begs 









saturated dehydrated intoxicated 
saturation dehydration intoxication 

coordinated terminated culminated 
coordinating terminating culminating 



kisses cries heals 
kissed cried healed 



anarchists feminists creationists 
anarchism feminism creationism 

roasted tasted disgusted 
roasting tasting disgusting 



conservation conservatory conserved 
observation observatory observed 

travelled travelling traveller 
traveled traveling traveler 

abuse abused abusive 
addiction addicted addictive 











rescue rescues rescuers 
kidnap kidnaps kidnappers 

understanding explaining realizing 
understood explained realized 





translation quotation imitation 
translations quotations limitations 

shaped curved curled 
shapes curves curls 

disaster disasters disastrous 
hazard hazards hazardous 



church baptist jesuit 
churches baptists jesuits 

served serve serves 
reserved reserve reserves 

served conserved deserved 
serve conserve deserve 







needed proceeded exceeded 
needing proceeding exceeding 

code coding coded 
encode encoding encoded 

albums singles billboards 
album's single's billboard's 





sweden swedish sweden's 
norway norwegian norway's 

sweden finland iceland 
sweden's finland's iceland's 



success succession successive 
recess recession recessive 

raised praised commented 
raising praising commenting 

author authors author's 
poet poets poet's 

kill kills killings 
shoot shoots shootings 

kill killing killers 
shoot shooting shooters 

leave enter exit 
leaving entering exiting 

rivers drivers constructors 
river's driver's constructor's 


asked asks asking 
convinced convinces convincing 

asked promised advised 
asks promises advises 

asked answered wondered 
asking answering wondering 

boy boys boy's 
girl girls girl's 

port ports ported 
export exports exported 

constitution constitutions constituted 
institution institutions instituted 

constitution constitute constitutes 
institution institute institutes 

orchestra orchestras orchestration 
conductor conductors conduction 



organization organizations organizing 
organisation organisations organising 

organization urbanization characterization 
organized urbanized characterized 

organization organisation organised 
reorganization reorganisation reorganised 

organization organizes organizers 
organisation organises organisers 

organization organized organize 
organisation organised organise 

destroyed damaged repaired 
destroying damaging repairing 

destroyed ruined mined 
destroying ruining mining 

destroyed abandoned retreated 
destroying abandoning retreating 



dance dancer danced 
choreography choreographer choreographed 

thought think thinking 
considered consider considering 

term describe prescribe 
termed described prescribed 

songs singles billboards 
song's single's billboard's 

light lights lighting 
sight sights sighting 

wanted invited disappointed 
wanting inviting disappointing 

wanted attempted prompted 
wanting attempting prompting 



night nights night's 
knight knights knight's 



students colleges institutes 
student's college's institute's 



chemical biochemical anatomical 
chemist biochemist anatomist 

divided split merged 
divides splits merges 

directed corrected dissected 
direction correction dissection 

directed corrected objected 
directions corrections objections 

signed agreed promised 
signing agreeing promising 







established merged reformed 
establishing merging reforming 

independent dependent correspondent 
independence dependence correspondence 

tried ordered bordered 
trying ordering bordering 

michael andrew patrick 
michael's andrew's patrick's 

told wondered wandered 
telling wondering wandering 

described description descriptions 
prescribed prescription prescriptions 



ireland scotland cornwall 
irish scottish cornish 

available accessible compatible 
availability accessibility compatibility 

generally specially locally 
generalized specialized localized 

nations federations considerations 
nation federation consideration 

tells knows pretends 
telling knowing pretending 

constitution prostitution substitution 
constitutes prostitutes substitutes 

orchestra orchestras orchestral 
choir choirs choral 

orchestra quartet oboe 
orchestras quartets oboes 

destroyed abandoned resumed 
destroy abandon resume 



involved participated anticipated 
involvement participation anticipation 

religion faith doctrine 
religions faiths doctrines 

scientists scientist scientifically 
economists economist economically 

moon moons moon's 
planet planets planet's 



object objective objected 
subject subjective subjected 

forced attempted convinced 
forcing attempting convincing 

composer composers composing 
conductor conductors conducting 

egypt greece persia 
egyptians greeks persians 

note notes noted 
denote denotes denoted 

note notes noted 
quote quotes quoted 

distance distances distantly 
instance instances instantly 

brothers fathers mothers 
brother's father's mother's 

objects subjects rejects 
objected subjected rejected 

taught teaching teachers 
practiced practicing practitioners 

influence interest importance 
influenced interested important 

attacked captured escaped 
attacking capturing escaping 

attacked backed lacked 
attacking backing lacking 

computers compute computed 
calculators calculate calculated 

computers computing computation 
calculators calculating calculation 

saying statement commitment 
sayings statements commitments 

justice justices justified 
judge judges judged 

store stored storing 
restore restored restoring 

construction demolition refurbishment 
constructed demolished refurbished 



provide promote prompt 
providing promoting prompting 

count counted counting 
account accounted accounting 

describe prescribe scribe 
descriptions prescriptions scripts 



influenced influences influencing 
experienced experiences experiencing 

harry potter tolkien 
harry's potter's tolkien's 

singing performing entertaining 
singers performers entertainers 

agreed agreements agreeing 
negotiated negotiations negotiating 

controlled controller controlling 
rolled roller rolling 

engineering aviation navigation 
engineer aviator navigator 

stated statement statements 
argued argument arguments 

required require requirements 
recommended recommend recommendations 

required recommended requested 
requirement recommendation request 

arrested committed accused 
arresting committing accusing 

journalist journalism journalistic 
realist realism realistic 

journalist nationalist zionist 
journalism nationalism zionism 

american americans america's 
canadian canadians canada's 

american americans america's 
african africans africa's 

american african asian 
america africa asia 

movie film kubrick 
movie's film's kubrick's 

national international rational 
